;music_pop;gardening;music_pop;gardening;sport_stuff;music_pop;makup_beauty;both_toy;hightec;music_pop
young_men;0;0;0;1,47288405800838;4,64817135205873;0;0;0;0;0
old_women;0;0;0;0;0;0;4,53144999757942;0;2,55720999373924;0
single_women;3,04416874518812;0;1,19371827281719;0,5;0;0;0;0;0;0
single_women;0;0,5;0;0;0;2,70595826334597;4,65832614370544;1,64766077122076;3,25385202339564;0
single_women;0;0;0;0,5;0;0;0;0,917608577254046;2,86084505862596;3,5915059762036
mother;1,4801945465059;0;0;2,63245825592077;1,59140585064488;0;0;3,98170521016312;0;0
mother;0,592776784949366;0,687763571739197;1,03492888856443;0;1,09409639802486;0;0;3,43874656010361;0;1,2081798858513
boys;0,717757068210168;0;0;0,5;0;0;0,5;2,33663071148872;0,79111906876374;0
mother;0,632544941796244;0;0;0;1,53514371697565;0,844928948834971;2,6289064770699;3,96810668053483;0;0
old_women;0;0;0;2,10773697616893;0;0,5;2,79493977539006;0;0;0
single_women;0;0;0;0,5;0;0;0;1,62554690224377;3,42013192176819;0
young_women;0;0;0;0,691507572863022;0;0;0;0;0;2,65065011645232
single_women;2,3591338923942;0,5;0;0,5;3,82725427710789;0;0;0;0;3,92333308976299
mother;1,24993117863775;0;0;1,92364107418044;1,90373272490861;0;0;0;0;0
single_women;2,66328539078277;0;0;0;3,42183625857431;1,24597081134374;0;0;3,24765277898295;3,8592715351187
single_men;0;0,844460815817332;0;0;3,85324485546595;0;0,5;1,55003974915018;0;1,50715865916906
single_men;0;0;0;0;4,68172395587048;3,87405877554513;0;0,920970701575731;4,16695561407458;0
single_women;3,98564149252402;0,5;1,59028843165854;0;0;0;4,12855367089089;0;2,72831461891919;0
old_men;0,5;0;0;4,31031225170489;0;0,5;0;0;3,76010823681024;0
young_women;2,28819833476478;0,835825400350534;0;0,642905341760677;0;0;0;0,5;0;0
single_men;1,37430432037185;0,952350047860458;2,29821166223763;0,542425471377757;0;0;0;0;3,05888201857865;0
single_women;1,20532911839212;0;0;0,5;3,25537539518223;0;4,26181009191173;0;3,49937057937466;0,947649955749512
young_women;2,78009820812386;0;0;0;0;0;0;0,5;0;0
old_women;0,5;1,48224539006233;0,5;0;0,517829338329765;0,5;4,97934138308249;0;0;0,5
father;0;0;0;1,3710663318634;0;0;0,5;0;4,13687717874389;0
single_women;0;0;0;0,5;0;1,18963381889725;0;0;2,34653013588233;0
mother;0;0;1,40134799708675;2,62651802861435;0;0;3,02423896967631;0;2,73077016683797;0
single_men;0;0;0;0,68354144770817;3,79262627977534;4,27445363998413;0;0;0;0
mother;0;0;0;3,18511153859324;1,51490897290172;1,04496034260139;4,96703767776489;0;0;1,37715920125002
single_women;0;0;0;0;0;0;0;0;2,33784379639562;3,00604005577324
father;0;0;0;4,55652176754387;0;0;0,5;1,21610316457977;0;0
old_men;0,5;4,35377079358034;0;0;0;0;0,5;0;0;0
mother;1,71763074897119;2,83922084483282;1,30778271393282;0;0;0;2,94435808851587;2,55525683264959;0;1,62793000304509
single_women;2,58082180497275;0,5;0;0,5;3,91668132968092;0;4,07612091678945;0;0;1,65480049543772
mother;0;3,96749971572659;0;3,79636460300366;0;0;3,57134338075823;0;0;0
single_men;0;0;0;0;0;2,35500484674936;0;0;0;0
old_women;0;1,32519476107564;0;0;0;0,5;0;0;0;0,5
single_women;2,12671816634327;0;0;0,5;0;0;0;1,8677963483463;0;0
single_women;1,99342353036321;0,5;0;0;0;0;0;0;0;0
mother;0;1,10741250105547;1,73854401159964;3,44356130363585;1,07206628894064;0;0;0;2,1663581692457;0
old_women;0,5;2,06047783748269;0;0;0;0;0;0;0;0
young_women;1,18230453793998;0,734376386615623;1,72063427265763;0;4,02325873962755;1,40832932312429;0;0;2,66603500473594;1,16616489839096
single_women;0;0;2,11746325163053;0,5;0;0;4,51636392600665;0;0;0
boys;0;0;1,09297209144243;0;0;0;0;3,18219372964566;1,97647941367537;0
single_men;0;0,994280099868774;2,18393016801399;0;0;0;0;2,72775663818594;3,6019898423003;1,60700452681957
single_men;0;0,954068934989194;3,01877343515808;0;0;1,43540912095244;0;0;0;0
old_women;0,5;0;0;0;1,70525418371207;0;0;0;0;0
young_women;0;0;1,75906551757784;0,986598944518063;4,94247857571695;1,69624271928158;0;0;0;0
single_women;2,8943554874949;0;0;0;3,07714043747501;2,83585238495648;3,288907289505;1,5464245749388;0;3,34177920051933
single_men;0;0;2,86891236289819;0;4,11236182465794;0;0;0;0;2,45103350209586
young_men;2,59244360336682;0;0;1,35887332999095;3,97642814320346;2,43634378744119;0;0,5;0;0
mother;0;0;0,58365482398479;0;1,43880278265048;0;0;3,71783992541853;0;1,11898075072979
young_women;0;0;1,15147718607982;0,554923001935204;0;1,69216253826961;0;0,5;0;0
mother;1,22645448834005;0,86839734826628;0;1,75738175853965;1,05041395269819;0;2,34768257539146;2,07456965934232;0;0
single_women;0;0,5;3,79745831284554;0,5;0;0;4,26486226090456;0;3,25833368301392;0
single_men;3,02716310696079;0,653061048664647;0;0;0;0;0;0;0;0
old_women;0,5;0;0;0;1,30448710187547;0;0;1,48315745079106;0;0
old_women;0;0;0,5;0;0,897140135242203;0;0;3,96555797102189;0,671482233643291;0,5
father;0;0;1,41818890320984;0;0;0;0;2,78209876724617;3,20872112000767;0
single_men;2,04794980541242;0;0;0;0;0;0,5;1,36865730158456;0;0
young_women;1,19263625144958;0;2,00921434769836;0;0;0;0;0;0;0
single_men;0;0;0;0;0;0;0;0;4,54454039761077;2,03276373168117
mother;0;2,56193392982796;0,918918915986511;0;1,89270843560468;0;1,30546384318986;3,69713882063382;2,63990671124305;0
single_men;3,70592708639145;0;0;0,560017195325353;4,27036738734244;0;0;2,71367913401391;0;0
old_women;0;1,84385128800937;0;0;0;0;3,50732164201668;0;1,58734667301178;0
single_women;1,14968035004552;0;0;0,5;0;0;3,96309781074524;0;3,38959615462906;0
girls;0;0;0,5;0;0;0;0;0;0;0,5
single_men;1,00132333207937;0;2,2424039324943;0;3,35687044558901;0;0;0;3,68028116164742;0
mother;1,6493855049598;0;0;2,20173328216268;0;0;1,34592582254947;3,30499127474846;3,97187543938489;1,39607611247156
single_men;2,04445439951702;0,663725228590763;0;0,74664612195764;0;3,82222400783665;0,5;0;0;0
mother;0;0;0;2,08890279666004;0;0,912684841273671;1,68093054074837;0;3,38566399616453;0
old_women;0;0;0;0,689935577888943;2,06070780754089;0;0;0;0;0
single_men;0;0;3,62043468869311;0;3,436338032799;2,1840765705258;0,5;0;3,71684856746199;1,01529098023441
mother;1,61332688928271;0;0,70808418640312;0;1,68057020086822;0;0;0;0;0
mother;0;0;0;0;1,8482042103299;0,988182983821343;0;0;0;0
single_men;0;0,918062248229078;0;0;0;0;0;0;0;0
single_men;1,96218089012531;0;1,48366988146848;0;3,20718686106018;0;0;2,7338478650124;0;2,65314375732706
old_men;0;0;0;0;0;0,5;0;0;3,64322052856126;0
single_men;1,62120981589947;0;2,53617825616904;0,782765978846124;3,01866940689211;0;0;0;0;0
young_women;0;0;0;0,527149881016067;4,99258751049293;2,68479919433594;0;0,5;4,75032179465067;2,81848897217703
mother;0;0;1,4883412569707;3,87802657619027;1,65909341241191;1,27634614090265;1,02537155151367;3,77139447898203;2,78700531217596;0,882507248261248
old_men;0,5;0;0,5;4,57289977910598;1,69507009056167;0;0;0;0;0
mother;0;0;1,07470409878283;0;0;0;3,85375331195712;2,12175311060704;0;1,87184797454246
single_men;2,68017395617448;0,717778706326046;1,61094861738894;0;0;0;0,5;1,6500905715628;0;1,53194977786948
mother;1,8341936750031;0;0,636184841923502;1,74445910926185;0;0;3,09108723052362;0;0;0
single_men;0;0;0;0,544536497464653;0;1,01158966171164;0;0;0;1,59553635520653
single_women;2,99974733637634;0;0;0;3,62405518331754;2,00926239928662;0;0;2,50362727441994;0
single_women;0;0;2,78497168039203;0;0;3,6059323687134;4,54893061544231;0;0;3,65850428289664
single_men;0;0,715343344591252;3,00324674323352;0,863717253256457;3,68889937116248;0;0;2,49521262873673;0;3,76934088616136
single_men;0;0,703409590853103;2,29381002452868;0;4,78602922790965;0;0;0,686780615563868;4,7311422963306;3,91611079076124
single_men;1,1056566038661;0,708688827561535;3,15197386134042;0;0;0;0;0;0;2,39069989108979
mother;1,17715260743962;0;0;3,031804818442;0;1,44230637719962;3,57476104031073;2,63382824539851;3,9307650569504;0
young_women;1,23109194647106;0;0;0;3,02493822110115;0;0;0,5;2,38530398830087;2,66759840756077
single_women;0;0;0;0;0;3,9961054031719;4,02288014675625;0;0;3,93969302388825
mother;0;2,36453581175978;1,59566688006542;0;1,65349681053939;0;3,84875050738861;0;0;1,56553742432293
young_men;0;1,41938588135847;0;0;3,3684233745413;0;0,5;0;0;0
young_women;0;0,68706554485814;1,01252342761146;0,51442490588614;0;1,08295290082831;0;0,5;4,75940179022001;2,17246976828783
boys;0,754938576023531;0,5;0;0;0;0;0;3,77545831062619;1,98704153368577;0,606369587409482
mother;1,42918364234696;1,69564591380565;0;0;0;0;0;2,3838809851482;2,61290462390189;1,52935280209843
old_men;0,5;0;0;4,03443274974564;0;0,5;0,5;1,66194944906139;0,666651167053101;0,5
single_women;1,68777451696236;0,5;0;0,5;0;0;4,02368043271065;0;0;0
single_men;0;0;0;0;0;0;0;2,46181467942047;0;0
old_women;0;0;0,5;0;0;0;0;0;0;0,5
single_women;1,7379747297326;0,5;0;0,5;3,30968114329021;0;0;0;0;2,71449337653559
single_women;0;0;0;0;3,20400862032734;1,7463903463196;4,20686907563678;0;0;0
old_men;0;0;0,5;0;0;0,5;0;0;1,03287153622735;0
young_men;0;0;0;0,646946037023769;4,84872109622169;3,5103327210575;0,5;0;4,56706964623512;0
single_men;0;0;1,94854671319413;0;3,20203414103111;0;0;0;4,71799654407333;3,94455563553821
mother;0;3,05110408763918;0;0;1,25166017015076;1,76631885802668;0;3,06768758365311;0;0,529291570186615
single_women;3,99056669743292;0,5;2,21831402844671;0;0;1,04321981409715;0;0;2,88475229352934;0
father;0;0;0;0;1,18043712814359;1,24816250801086;0;0;0;2,99904505442783
single_men;0;0;0;0;0;2,66981438206034;0;2,41866871990201;0;2,90001848847606
mother;1,15338875663159;0;0;0;1,58917295587676;0;0;0;0;1,89631196642123
single_men;0;0,615725237231574;1,69263628483407;0;4,31097978042019;2,15451787139965;0,5;1,07688961763721;3,30398749667406;0
single_women;0;0;0;0;0;3,50977853103996;3,40889644622803;0;0;0
single_women;2,80982923545401;0;3,78505396506984;0;0;0;4,70011879722593;1,05163765095716;2,06416688117393;2,07518765194117
old_women;0,5;0;0,5;0;1,53906321525574;0;0;3,83081481365059;0;0,5
young_men;0;1,93871772728801;0;1,12504815409195;0;0;0;0;4,38880903664455;0
young_men;0;0,895575030658196;3,45928518635188;0,632383641848519;0;0;0;0;0;3,21629860215648
mother;0;2,00867004041032;1,02349152254103;0;1,5328577615008;0;0;2,6034315967017;0;0
young_women;0;0;1,44419396037431;0,668138352068205;0;0;4,0931919790307;0;0;1,59071104628533
old_women;0;0;0;0;0;0;2,22371719788002;0;0;0
girls;0;0;0;0;3,25018531142277;0;0;2,87917691230736;1,15949867370515;0
single_women;1,01908082562456;0;2,90753639066011;0,5;3,90666023870309;0;0;0;3,14311385154724;0
mother;1,99354063858909;2,95692364450401;0,920589861655883;0;1,01958163362908;0;2,52258627373846;2,45589760246496;0;0,930018008654014
girls;0;0;0;0;2,25934528385259;0,5;0;3,97450879587536;1,92334010471745;0
young_women;0;0;0;0;0;0;0;0;0;1,43864691257477
mother;0,694022484912548;0;0;1,97704871510018;0;0;1,75931204332007;0;3,55990937424819;1,39967438108273
boys;0;0;0;0;1,72845423221588;0;0;0;1,38790064858641;1,04365379179067
young_men;0;1,7252289379133;0;0;0;2,84692186342875;0,5;0;4,28856652290028;2,31596022765895
old_men;0;0;0;0;1,31229694109051;0,5;0;0;0;0
mother;0;0;1,595847151054;2,04268162559843;0;0;0;2,37778257689336;0;1,99520867853202
old_men;0,5;0;0,5;4,19295186791241;1,3232255882226;0;0,5;1,51012312784331;0;0
single_women;0;0;3,86226624663093;0,5;0;3,12553581461568;0;0;0;2,7238961522113
young_women;2,87184406531595;0,636679928347785;0;0;0;0;0;0,5;0;1,85252778644326
young_women;0;0;0;0;0;0;4,17654154830451;0;0;0
single_women;0;0;2,14896752599113;0;0;0;4,16859938491536;0;0;0
single_men;0;0,831293335804387;0;0;4,36138314724033;1,30046831830427;0,5;0;0;0
father;2,64621968923426;3,61305807792258;3,01237321785296;0;2,83858165975594;1,18541639865628;0,5;1,91418055021864;0;0
father;0;0;0;0;2,88798477122932;0;0,5;0;3,24980129126916;3,24405129870588
father;0;0;1,52356488654556;0;0;2,38715019001958;0;0;4,77698597208456;0
single_men;0;0;0;0;0;2,81590632200982;0,5;0;3,29002561433708;1,38373065618041
father;0;0;0;2,77806105174965;0;2,98997360560576;0;0;0;1,28531062150621
mother;0,741277157208546;0;0;0;0;1,15879774264004;2,07668494343603;3,6882882917711;0;1,4598013195022
single_men;0;0;0;0;4,26242214220689;2,20105051817421;0;0;0;3,90117634176331
young_men;0;0,985973227064113;3,35693566005534;0;0;0;0;0;0;0
father;0;4,06236740623711;1,42815990067467;0;0;0;0;0;0;0
single_women;0;0,5;0;0,5;0;0;0;1,39963571047393;0;0
single_women;0;0;4,32212543487549;0,5;0;1,11171832918735;4,06788490529539;0;0;0
old_women;0,5;0;0;0;0;0,5;0;0;0;0
old_women;0;0;0;0;1,57368110822219;0;0;2,35217482752734;0,531790820663697;0
old_men;0,5;4,34344544184555;0,5;4,68231544442583;1,5389461431368;0;0;0;0;0
mother;0;3,33091583141634;0;0;0;0;3,3395898739526;0;4,08404780509139;0
single_women;3,05095662691209;0;0;0,5;0;0;0;0;3,97779241575757;1,77725412872492
single_women;0;0,5;0;0;0;0;0;0,599150395299844;3,15143092402789;0
single_women;3,80476906327753;0;3,82949209298449;0,5;3,79096708343875;0;4,67455299230039;0;0;0
single_women;0;0,5;0;0;0;2,99708629166572;0;0;3,49209644435537;2,11017658939128
single_men;2,85844288387263;0;0;0;0;3,75166000600516;0;0;0;1,12558254326022
single_men;1,67645692903383;0;2,04989451870783;0;0;0;0,5;0;0;2,68987255854992
mother;0;3,80970572019448;0;0;1,51511783456202;1,1582386033415;1,53443931626828;0;0;1,31352975606617
mother;0;3,04288159033418;0;0,505546291361352;1,60347026428369;1,51795849880109;3,28408457305473;0;2,63537470001512;1,48029015608145
single_women;3,65997136042452;0;0;0,5;0;1,32100524954545;4,87717145768794;1,49654908547949;0;0
single_men;0;0,535811488766135;3,72298151428019;0,717334558357175;4,20271766986824;3,94287418245472;0,5;0;4,16986654473928;2,62680674746018
young_women;0;0;0;0;0;1,15881820961778;0;0,5;0;0
young_women;2,09267722866157;0,719951327061258;0;0;3,31832450456839;0;0;0,5;4,50830386369876;0
mother;0;0;1,82772823112445;0;1,33721410359126;0;0;2,8245173007364;4,16206852819867;0
boys;0,65678462696112;0;0,974225857050263;0,5;0;1,00450567435683;0,5;0;0,947935067791462;0,724439288361203
old_women;0;2,38373119890864;0,5;0;1,71937005255342;0;2,05752231229913;0;0;0
single_men;2,88547454675914;0;0;0;0;0;0;0;0;0
single_women;0;0;0;1,5;0;0;0;1,86478007788061;0;0
old_men;0;0;0;0;0;0;0,5;0;0;0
mother;1,04997361546847;1,2815276464827;0;0;1,06745580540386;0;3,29829814345497;0;0;0,790997223831246
single_men;0;0;0;0,774360060691833;0;0;0,5;1,59810694055544;0;0
old_men;0;0;0,5;4,94372739779936;0;0,5;0;0;0;0
old_women;0;0;1,5;2,53098169506108;1,40145685426027;0;0;0;1,08326616794023;0,5
girls;0;0,5;0,5;0;2,7728499634065;0,5;0;2,9077313425521;0;0
single_women;0,0282684843987226;0,5;0;0;3,79001405359712;0;0;0;2,83127808570862;0
single_men;0;0;0;0;0;0;0,5;0;3,59159781997632;0
old_men;0;0;0;0;1,5002743022052;0;0,5;0;0;0
mother;0;0,948734675044536;0;0;1,89674778883194;0,916041083827634;1,49795341142358;0;0;1,95831320246603
young_men;3,22201015391481;0;3,62751598359436;0;0;0;0,5;0;4,39615463251069;2,84511255977913
young_women;0;0;0;0;0;0;0;0,5;0;1,24906609405254
young_women;1,96646998402033;0,689512523677904;0;0,684171438302925;0;0;4,11533457511819;0;0;0
single_women;0;0;2,64751967212535;0;3,637187269813;0;0;1,87231209379263;0;3,47100423531188
single_men;0;0,894034637554565;0;0,853688783875522;0;1,08916111899966;0,5;0,787812376761722;3,96622891769103;0
single_women;2,34904823049393;0;1,96951176690381;0;3,9859977327222;0;0;0,81912924131338;3,36818558786446;0
girls;0;0;0;0,5;0;0,5;0;2,56917405128479;0;0,5
boys;0;0;0;0;0;0,961989850020963;0,5;3,82229774809549;0;0
father;0;3,66470422347295;0;0;0;0;0;0;4,57811584397131;2,88513714162872
